Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
A2M_12371,2,a2m,11.84833902,12.59423982,13.46883854,4.24E-12,2.27E-10,-3.3586822,3.3586822,1.0068685,1.0822828,-1.0984102,-1.0080366,-1.140443,-1.7907462,-3.3586822
AARS_3,,aars,14.51156709,17.07251448,21.2671017,0.00011014,0.000813619,1.9806904,1.9806904,1.1095622,1.017501,1.0606482,1.2266288,-1.1324985,1.3285325,1.9806904
AATF_26432,26574,aatf,15.29675844,16.9517659,21.47025826,5.00E-05,0.000390386,1.9465423,1.9465423,1.1302146,-1.659629,-1.1820562,-1.6314964,-1.1954265,-1.3261287,1.9465423
ABCA6_22690,23460,abca6,9.776147519,12.24926278,14.27421557,9.94E-12,4.69E-10,-6.945069,6.945069,-1.0660126,-1.1441017,-1.1287918,-1.1506993,-1.4238715,-1.5446931,-6.945069
ABCA6_28368,23460,abca6,7.16821921,7.708034165,8.370944733,1.53E-10,4.72E-09,-4.441841,4.441841,-1.0009716,-1.1238328,-1.1475841,-1.2611928,-1.3625787,-1.9892869,-4.441841
ABCB1_12,5243,abcb1,9.374178055,10.56850806,12.22464753,1.27E-06,1.57E-05,2.8085885,2.8085885,1.1565013,1.0911578,1.0274014,1.1350696,1.0209076,1.6427584,2.8085885
ABCC2_22,1244,abcc2,13.13867678,14.81772969,17.09421482,1.05E-06,1.34E-05,2.6409104,2.6409104,1.0647299,-1.0786837,-1.0024455,1.1635687,-1.0408651,1.5299873,2.6409104
ABCC2_26620,1244,abcc2,12.13480182,13.95455793,16.67491778,1.32E-05,0.000119587,2.4231987,2.4231987,-1.1339226,-1.0808886,-1.1696942,1.1326594,-1.23615,1.4870818,2.4231987
ABCG2_25072,9429,abcg2,7.372515649,9.194396795,13.1494172,0.013558352,0.04481245,3.5130842,3.5130842,1.209347,-1.35831,-1.2779311,-1.0008279,1.0410745,-1.122238,3.5130842
ACADL_23253,33,acadl,12.62434988,15.17675724,19.38555777,0.005225438,0.020631471,-1.8824692,1.8824692,1.0275546,1.0550117,-1.1251664,1.0272126,-1.2103846,-1.4878045,-1.8824692
ACADVL_20681,37,acadvl,17.66872242,20.8522324,25.66198849,1.48E-06,1.78E-05,1.7796758,1.7796758,1.0105572,1.0402296,-1.1238151,1.1439962,1.0366127,1.7796758,1.6626091
ACAT1_22692,38,acat1,63.14498063,149.0713249,1319.890757,3.20E-07,4.71E-06,1.6473391,1.6473391,-1.0280887,1.2073212,1.0012753,1.2951399,1.2218581,1.6473391,-1.1041044
ACAT2_56,39,acat2,7.270458604,7.550942128,7.843635255,0,0,-5.245535,5.245535,-1.0039177,-1.1231897,1.0281777,-1.0568084,-1.0626886,-2.6632502,-5.245535
ACOX1_20713,51,acox1,28.83695001,36.38727904,51.16323152,7.44E-07,9.95E-06,1.6710149,1.6710149,1.0593424,1.1961695,1.0353951,1.3005533,1.0923886,1.6710149,1.3653575
ACSL1_75,2180,acsl1,38.46874961,56.16774577,116.6666772,0.000286428,0.001822,1.524967,1.524967,-1.0700117,-1.0335099,1.0595007,1.2329485,1.4219866,1.524967,1.2272753
ACSL5_23312,51703,acsl5,16.30223064,19.22067894,23.69453012,3.60E-05,0.00028688,1.8830379,1.8830379,1.0618811,1.096487,1.0258809,1.0341119,1.3741122,1.3704801,1.8830379
ACTL6A_19294,86,actl6a,20.86175176,26.3494229,38.74058188,0.015487773,0.049455975,1.5587004,1.5587004,1.1772414,1.110892,1.1013789,-1.044888,-1.0975897,1.1588457,1.5587004
ADH1A_126,124,adh1a,13.54476888,14.22933515,14.97482573,1.19E-14,1.27E-12,-4.023166,4.023166,-1.0315393,-1.0987602,1.025159,-1.0830888,-1.2954601,-1.5679339,-4.023166
ADH1A_26384,124,adh1a;adh1b,16.36736393,17.5492744,18.93725607,1.98E-11,8.21E-10,-3.4043283,3.4043283,-1.1706504,-1.1708128,-1.0023063,-1.1487476,-1.2587744,-1.5816134,-3.4043283
ADH1B_20117,125,adh1b,16.36575447,17.4004087,18.63070248,1.98E-12,1.22E-10,-3.4362867,3.4362867,-1.1111348,-1.1344886,-1.0421071,-1.1790634,-1.2644112,-1.5470608,-3.4362867
AGL_162,178,agl,3.777719528,5.702799346,9.997941117,1.64E-05,0.000143288,-2.064419,2.064419,-1.068767,-1.0715418,1.1028699,-1.0923201,-1.3309281,-2.064419,-1.6489663
AHCY_174,,ahcy,20.97760001,26.46170504,37.81928268,0.011018319,0.038396445,1.5116075,1.5116075,1.2017984,-1.0287519,1.0705565,1.0572423,1.0044053,1.2873698,1.5116075
AHSA1_24801,10598,ahsa1,22.34333508,26.49937693,32.98903432,0.000437937,0.002679441,1.609739,1.609739,1.131077,1.0456532,1.0435264,1.0862787,1.0500566,1.2460663,1.609739
AKAP8L_196,26993,akap8l,18.00948972,43.31758812,352.6586161,0.001324392,0.006761149,-3.207053,3.207053,1.218806,1.2333663,-3.207053,1.5601791,1.0745702,1.475559,-1.1049627
AKR1B10_19908,57016,akr1b10,7.818413457,8.725798662,9.864169531,1.20E-08,2.52E-07,5.39436,5.39436,1.0804964,-1.0454576,-1.1920295,1.1499791,1.0088099,2.009988,5.39436
AKR1C2_28246,1646,akr1c2,12.36447187,13.67067105,15.07143949,2.94E-09,7.37E-08,3.2402496,3.2402496,-1.0813568,-1.3185467,-1.325312,-1.309571,-1.3996503,1.3169718,3.2402496
AKR1C3_203,8644,akr1c3,10.70358016,11.79985767,13.15551412,8.24E-09,1.87E-07,3.89941,3.89941,1.2872711,1.0894392,1.0579302,-1.0201659,1.0176482,1.6550145,3.89941
AKR1C3_26820,8644,akr1c3;akr1c1;akr1c4;akr1c2,13.57243754,14.86836382,16.37734059,4.44E-07,6.41E-06,3.065913,3.065913,-1.0078994,-1.0945129,-1.1104189,-1.0624014,-1.3277445,1.2929825,3.065913
ALAS1_28273,211,alas1,15.35539916,17.74975086,21.14973201,2.08E-06,2.34E-05,2.0233254,2.0233254,1.1311182,-1.0215116,1.2411225,1.0956719,1.3091747,1.5191746,2.0233254
ALB_217,213,alb,18.31299683,19.28261471,20.36440947,2.66E-15,3.56E-13,-3.034977,3.034977,-1.0013269,1.0199077,-1.0329218,1.0309265,-1.1528805,-1.7733028,-3.034977
ALDH3A2_26575,224,aldh3a2,24.45578481,30.02715737,39.79105315,0.000155398,0.00107837,1.5494598,1.5494598,1.0834919,1.2241906,1.0553207,1.2170827,1.1110342,1.4697042,1.5494598
ANO10_292,55129,ano10,7.954021804,9.191950523,10.95897213,2.47E-06,2.75E-05,2.9795258,2.9795258,-1.1875017,1.112311,1.1094137,1.2405647,1.1844019,1.4379756,2.9795258
ANXA5_14212,308,anxa5,27.02790102,32.21334385,41.02516802,0.001074394,0.005760047,1.5908396,1.5908396,1.0183387,-1.0500177,-1.0213205,-1.0843868,1.1643643,1.1061506,1.5908396
APOA1_26063,,apoa1,13.67231449,15.03905705,16.57814245,9.25E-11,2.97E-09,-3.0735795,3.0735795,1.0718439,1.0696533,1.1662785,1.0542177,-1.117304,-2.2992256,-3.0735795
APOE_358,348,apoe,30.37712175,37.80787692,51.50792916,0.014940704,0.047899896,-1.5425667,1.5425667,-1.00136,1.0591589,1.001495,1.0053216,-1.2160662,-1.1451772,-1.5425667
AQP9_378,366,aqp9,16.85107861,19.22592103,22.81450159,3.25E-06,3.46E-05,-2.0287442,2.0287442,-1.1420407,-1.2313432,-1.2019342,-1.2515643,1.1018544,-1.3498601,-2.0287442
ARF4_391,,arf4,21.31869602,26.61025552,37.26084276,0.006694048,0.025130113,1.6783345,1.6783345,1.0823938,1.274518,1.049908,1.1053495,-1.006794,1.2418102,1.6783345
ARHGEF2_423,9181,arhgef2,4.664042976,5.909832907,8.154354411,0.000426452,0.002619167,3.387294,3.387294,1.502905,1.1061046,1.1100423,1.4671731,2.073065,2.4803293,3.387294
ASS1_10887,445,ass1,23.13614542,26.40965531,31.38218029,8.99E-07,1.17E-05,1.6592098,1.6592098,1.105872,1.1658477,1.0319656,1.1100093,-1.0370425,1.4681088,1.6592098
ATF4_500,,atf4,20.44309857,22.21087163,24.52473137,8.32E-09,1.87E-07,1.8875344,1.8875344,1.0648791,-1.0479105,-1.0371974,-1.0290283,-1.0997304,1.2683406,1.8875344
ATF5_501,22809,atf5,38.35852516,53.98975247,100.3381465,0.000832604,0.004602291,1.5240942,1.5240942,1.0220451,1.1943538,1.2014481,1.0399339,-1.196822,1.5240942,1.2984617
ATIC_507,471,atic,15.23370999,18.27283677,23.16086523,1.84E-06,2.13E-05,1.8284609,1.8284609,1.1499442,1.2313069,-1.3772565,1.0942034,1.0233911,1.2874132,1.8284609
ATP1B1_527,481,atp1b1,20.93120601,26.65792427,39.4244269,0.000730386,0.004122568,1.5985168,1.5985168,1.0017936,-1.1698055,-1.0119008,-1.0141844,1.5985168,-1.3160771,-1.5661149
BAAT_614,570,baat,26.43290144,30.32348103,36.27065758,1.34E-05,0.000120521,-1.8839008,1.8839008,1.0261794,-1.0388092,1.0654212,-1.0298067,-1.3394372,-1.3807154,-1.8839008
BAMBI_634,25805,bambi,15.63769797,16.8411991,18.18191173,1.29E-05,0.000117667,2.363285,2.363285,1.1160333,1.1989573,-1.0052252,1.0715272,1.0212739,1.119576,2.363285
BCL2L1_21647,598,abalon;bcl2l1,18.3805129,20.86004471,24.34763326,2.64E-06,2.91E-05,1.9405438,1.9405438,1.0118915,1.019006,-1.0489029,1.0151744,1.2112598,1.4454559,1.9405438
BDH1_674,622,bdh1,14.46833691,16.02689279,16.98308539,0.001221387,0.006356763,-2.7943532,2.7943532,1.1147768,1.0315853,1.0249175,-1.3902581,1.0089513,1.0904739,-2.7943532
BHLHE40_689,8553,bhlhe40,17.67359638,19.71893795,27.24858575,0.008911515,0.031604333,-1.757862,1.757862,1.2551061,1.2703091,-1.2097138,1.2899634,1.1716571,1.4002519,-1.757862
BLOC1S2_28331,282991,bloc1s2,25.99685459,32.86181367,47.62960727,0.007777347,0.02846367,1.5099897,1.5099897,1.0778164,1.0479512,1.1633457,1.0788164,1.2115777,1.0843847,1.5099897
