Probe ID,Gene ID,Gene Symbol ,Df1,Df2,F-Value,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,bmdl,bmd,bmdu,BMDU/BMDL
1415776_at,11671,Aldh3a2,2,12,63.05939478,0.00000043,0.000776,3.8048491,3.8048491,2.099158,3.8048491,2.148718944,3.228704461,4.614679757,2.147642329
1415777_at,18946,Pnliprp1,2,12,31.1007144,0.0000179,0.006404571,1.5886211,1.5886211,1.0189619,1.5886211,7.694843009,8.637206116,9.183027563,1.193400249
1415911_at,16210,Impact,2,12,15.36203513,0.000491,0.044017956,1.705405,1.705405,1.2346159,1.705405,8.789026996,10.6212373,14.94757918,1.700709213
1416157_at,22330,Vcl,2,12,16.5198752,0.000358,0.038502043,1.5224661,1.5224661,1.0789142,1.5224661,9.369823191,10.57927028,12.71087584,1.356575848
1416248_at,192185,Nadk,2,12,59.28619708,0.000000603,0.000971,1.5559775,1.5559775,1.131905,1.5559775,16.71903647,18.35290774,21.31024087,1.27460939
1416249_at,192185,Nadk,2,12,41.06442752,0.00000429,0.002581521,1.6128885,1.6128885,1.1865546,1.6128885,14.22071115,15.91038343,19.21534664,1.351222625
1416431_at,67951,Tubb6,2,12,14.64896864,0.000602,0.048257126,1.6592565,1.6592565,-1.1366471,1.6592565,8.665224706,9.531088367,16.46564531,1.900198306
1416632_at,17436,Me1,2,12,25.02149298,0.0000524,0.012233767,2.2605247,2.2605247,1.2026925,2.2605247,8.178261151,9.23370669,10.88733886,1.331253509
1416772_at,12896,Cpt2,2,12,28.41594133,0.0000281,0.008330905,2.031702,2.031702,1.5797921,2.031702,9.571351949,11.77868569,15.94346883,1.665748884
1416946_a_at,113868;235674,Acaa1b,2,12,25.60425763,0.0000468,0.011348811,2.1017087,2.1017087,1.6110961,2.1017087,10.32601837,12.75193173,17.41339481,1.686361014
1416947_s_at,113868;235674,Acaa1,2,12,20.32129858,0.00014,0.021818335,1.5659732,1.5659732,1.3444937,1.5659732,18.23358634,22.70751275,32.51691412,1.783352628
1417008_at,12908,Crat,2,12,19.07205828,0.000188,0.025439555,3.1815886,3.1815886,1.7814249,3.1815886,3.587784745,4.53942724,7.487909911,2.087056622
1417023_a_at,11770,Fabp4,2,12,15.74716075,0.000441,0.042020657,1.6374453,1.6374453,-1.1342179,1.6374453,9.159385149,9.826731044,13.51816828,1.475881629
1417150_at,15567,Slc6a4,2,12,15.85293214,0.000428,0.041640654,1.5345244,1.5345244,1.1286832,1.5345244,8.15190537,9.46994156,11.80640641,1.448300228
1417177_at,14635,Galk1,2,12,22.58710178,0.0000855,0.016131509,1.8686973,1.8686973,1.3163503,1.8686973,10.09750901,11.92587846,15.71445981,1.556270938
1417212_at,68241,Fam195a,2,12,15.36152537,0.000491,0.044017956,1.6392463,1.6392463,1.2960272,1.6392463,12.64555607,15.74436848,25.91152826,2.049061988
1417409_at,16476,Jun,2,12,23.78212754,0.0000669,0.013960649,3.0520718,3.0520718,1.0027891,3.0520718,6.967250545,7.958296115,8.602327425,1.234680362
1417449_at,170789,Acot8,2,12,63.11762597,0.000000428,0.000776,2.44622,2.44622,1.5835121,2.44622,3.617087626,4.926726964,6.361658467,1.758779196
1417473_a_at,106564;667114,Ppcs,2,12,19.74306415,0.00016,0.023627121,1.9573822,1.9573822,1.2072766,1.9573822,6.035971017,6.951977714,8.467436002,1.402829135
1417573_at,109129,Mmadhc,2,12,66.7280519,0.000000315,0.000677,1.6091229,1.6091229,1.2671138,1.6091229,14.05300105,15.86629614,18.33366104,1.304608246
1417627_a_at,16885,Limk1,2,12,36.14771874,0.00000832,0.003951169,1.5520462,1.5520462,-1.0701385,1.5520462,8.322085996,9.214580138,9.617067876,1.155607846
1417629_at,19125,Prodh,2,12,14.72885118,0.000588,0.047964193,-1.6448082,1.6448082,-1.1952037,-1.6448082,14.20604769,17.12064959,23.98116591,1.688095552
1417785_at,85031,Pla1a,2,12,15.20418338,0.000513,0.044778941,-1.6543976,1.6543976,-1.3170788,-1.6543976,10.82440335,13.37490789,18.44908461,1.704397371
1417860_a_at,100689,Spon2,2,12,37.63663244,0.00000676,0.003453403,4.1797633,4.1797633,1.4226522,4.1797633,3.262411163,3.789561517,4.345382105,1.331954155
1417883_at,14872,Gstt2,2,12,15.80814798,0.000434,0.041796037,1.8288616,1.8288616,1.4229956,1.8288616,11.69014238,14.60179617,20.55242575,1.758098839
1417920_at,93835,Amn,2,12,49.63912189,0.00000157,0.001477647,6.4330993,6.4330993,1.2727201,6.4330993,3.600839652,4.576173875,5.354953627,1.487140263
1417963_at,18830,Pltp,2,12,18.89038975,0.000196,0.026247901,2.8127913,2.8127913,-1.0539393,2.8127913,7.123479265,8.088842415,8.828793114,1.23939339
1418123_at,22248,Unc119,2,12,18.65871781,0.000208,0.026767512,1.5858208,1.5858208,1.0173396,1.5858208,9.561863553,10.2615537,11.43596336,1.195997339
