Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Adjusted P-Value,Max Fold Change
AASDHPPT_21936,60496,aasdhppt,CentralTendencyRelativeChange,,0.1,Model average,1,1,17.01592823,23.15456505,38.95740009,0.002474718,1.5585778
ABCB1_12,5243,abcb1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.7780206,12.31897116,14.30856225,1.44E-05,2.1050317
ABCC2_22,1244,abcc2,CentralTendencyRelativeChange,,0.1,Model average,1,1,15.71430925,18.24783574,21.872022,1.50E-05,1.81683
ABCC2_26620,1244,abcc2,CentralTendencyRelativeChange,,0.1,Model average,1,1,15.73396299,18.32003066,22.09616464,3.31E-05,1.7426051
ABCC3_23353,8714,abcc3,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.152713313,7.367641375,13.64684784,0.030250232,2.199068
ABCC5_26,10057,abcc5,CentralTendencyRelativeChange,,0.1,Model average,1,1,22.25810088,40.49204092,207.9889147,0.023717683,-1.9717022
ABHD6_45,57406,abhd6,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.75180882,17.2673959,21.0595288,0.001821272,1.7152094
ACAA1_48,,acaa1,CentralTendencyRelativeChange,,0.1,Model average,1,1,31.85280056,63.12099627,412.9285569,0.008379155,-1.6740043
ACADVL_20681,37,acadvl,CentralTendencyRelativeChange,,0.1,Model average,1,1,25.09007593,30.59209627,39.72237695,0.003105047,1.5160496
ACAT2_56,39,acat2,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.126662413,8.037592653,9.089191443,4.50E-13,-3.1784818
ACOX1_20713,51,acox1,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.21844832,24.1548934,33.6245734,2.37E-05,1.9712943
ACSL1_75,2180,acsl1,CentralTendencyRelativeChange,,0.1,Model average,1,1,22.75051553,28.49237288,38.83543566,1.63E-08,1.9223768
ADH1A_126,124,adh1a,CentralTendencyRelativeChange,,0.1,Model average,1,1,31.27499859,41.72165447,66.89756088,0.044923064,-1.6326864
AFP_158,174,afp,CentralTendencyRelativeChange,,0.1,Model average,1,1,1.788105962,2.477347593,3.544017115,9.62E-04,-2.612181
AHCY_174,,ahcy,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.55441311,20.83984949,23.98367178,1.64E-05,1.6248043
AHSA1_24801,10598,ahsa1,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.55449982,20.85314459,23.97368269,3.27E-05,1.6908796
AKR1C3_203,8644,akr1c3,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.14148367,12.81688672,15.15260333,8.83E-06,2.1298609
ALAS1_28273,211,alas1,CentralTendencyRelativeChange,,0.1,Model average,1,1,13.5086878,15.38175992,17.93141448,1.49E-05,1.8353604
ALDOC_233,230,aldoc,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.658423132,8.505312148,14.55042247,0.014706513,-1.938504
AMDHD2_248,51005,amdhd2,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.618618485,10.87659915,15.42556841,0.039949679,1.9002088
AMY2B_26823,280,amy2b,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.63907019,13.28982093,18.54749029,0.002356893,-2.1271658
AQP9_378,366,aqp9,CentralTendencyRelativeChange,,0.1,Model average,1,1,27.37365239,40.3720701,95.57271529,0.027441936,-1.517528
ARHGAP9_17932,,arhgap9,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.346475795,5.975296602,11.76479317,0.03793689,-2.948403
