Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
A2M_12371,2,a2m,13.38574341,14.91260303,17.07108801,9.62908E-06,0.000124865,-2.79314,2.79314,1.0599006,1.2394335,1.1705041,-1.0305837,-1.0814054,-1.4902121,-2.79314
AARS_3,,aars,15.55108082,18.87283165,24.59683312,0.006199875,0.025827631,1.8241493,1.8241493,1.0392883,1.0199859,1.0193573,1.0710889,1.1188798,1.3616819,1.8241493
AASDHPPT_21936,60496,aasdhppt,12.77540914,16.54130517,22.89554616,0.002139489,0.010833286,1.6496149,1.6496149,1.1005762,1.2270274,1.2344859,-1.0539508,1.2707227,1.6317343,1.6496149
BCL2L1_21647,598,abalon;bcl2l1,19.40667221,23.31642845,29.8380562,0.001081794,0.006560692,1.7977154,1.7977154,1.1213735,-1.1661714,-1.0890028,-1.1186727,-1.0796568,1.342397,1.7977154
ABCA6_22690,23460,abca6,7.343297347,8.338122816,9.439285686,3.39925E-06,5.26389E-05,-4.102225,4.102225,-1.0367248,-1.117898,-1.1708511,-1.0970902,-1.0723761,-1.6458708,-4.102225
ABCA6_28368,23460,abca6,7.891398707,8.673241953,9.664095754,3.82942E-08,1.28668E-06,-3.9672182,3.9672182,1.0210322,-1.1196041,-1.2043369,-1.16147,-1.1833158,-1.8418736,-3.9672182
ABCB1_12,5243,abcb1,9.142417086,10.5865787,12.60995039,2.49494E-06,4.14525E-05,2.1638367,2.1638367,-1.1102937,-1.4618843,1.0551052,-1.1080658,-1.0644819,1.8566853,2.1638367
ABCC1_15868,4363,abcc1,5.336509859,7.079100911,11.29677115,0.012891805,0.04600096,2.4062142,2.4062142,-1.4734274,-1.7524449,1.1884139,-1.3252388,1.226433,1.5811466,2.4062142
ABCC2_22,1244,abcc2,14.47882316,17.46306784,22.51448978,0.001786364,0.009465951,2.086777,2.086777,-1.1004306,-1.2289037,-1.2234253,-1.0888784,-1.1921192,1.5327123,2.086777
ABCC2_26620,1244,abcc2,12.70956526,15.6146976,20.80395403,0.006088516,0.025555747,2.1600504,2.1600504,-1.0690333,-1.0990051,-1.284074,-1.0740199,-1.1715932,1.5777466,2.1600504
ABHD6_45,57406,abhd6,16.28327256,20.23387518,27.37695126,0.00620187,0.025827631,1.6193523,1.6193523,1.2302737,-1.0411228,1.0250757,1.0270636,1.1651381,1.3924481,1.6193523
ACADL_23253,33,acadl,14.44640745,15.81828666,17.74163656,0.000134949,0.001163475,-2.219896,2.219896,1.1477506,1.0691881,-1.1345962,-1.1471934,-1.2442604,-1.1196555,-2.219896
ACADVL_20681,37,acadvl,4.479847154,7.16302288,13.03963919,4.45119E-08,1.3813E-06,2.215001,2.215001,-1.062782,-1.0643647,-1.1119444,1.1614301,1.1996411,2.215001,1.6847705
ACAT2_56,39,acat2,4.6160234,6.043633827,7.738595492,2.13311E-09,1.26012E-07,-3.250601,3.250601,1.0774944,-1.1343799,-1.112151,-1.1574278,-1.0628425,-2.9525201,-3.250601
ACOX1_20713,51,acox1,25.19326043,36.72090563,78.64388546,2.76461E-06,4.4541E-05,2.2974997,2.2974997,1.1540983,1.0913002,1.2156588,1.2082921,1.133356,2.2974997,1.2188226
ACSL1_75,2180,acsl1,34.5854323,54.44412051,158.0816982,0.001152321,0.006909594,1.6804338,1.6804338,1.0412904,1.1065302,1.1495641,1.4560385,1.5122652,1.6804338,1.266592
ACSL5_23312,51703,acsl5,15.27171155,17.81094064,21.7022221,0.00010012,0.000917764,1.9017532,1.9017532,-1.0608498,-1.1611146,-1.1410578,-1.0046473,1.1562647,1.260389,1.9017532
ADH1A_126,124,adh1a,11.01315714,11.83872185,12.82882304,1.44833E-10,1.54006E-08,-5.336651,5.336651,-1.1739508,-1.0236496,-1.1432719,-1.0993401,-1.4065472,-1.8308018,-5.336651
ADH1A_26384,124,adh1a;adh1b,14.60731547,15.64161381,16.90967505,1.21455E-09,8.0717E-08,-4.0752106,4.0752106,-1.239881,-1.0083191,-1.1353619,-1.0680867,-1.2438617,-1.627936,-4.0752106
ADH1B_20117,125,adh1b,14.23984603,15.29344349,16.5704577,7.41032E-10,5.37249E-08,-4.461795,4.461795,-1.2531546,-1.072194,-1.2700757,-1.1471927,-1.3681873,-1.6180667,-4.461795
AGL_162,178,agl,16.37736306,19.82475797,25.7832268,0.000699739,0.004518561,-1.5924203,1.5924203,1.2380178,-1.0710663,-1.0949012,1.0137858,-1.1840779,-1.4258006,-1.5924203
AHCY_174,,ahcy,18.71933043,22.83415594,30.08246406,1.73529E-05,0.000196297,1.5462669,1.5462669,-1.1426841,1.1688428,1.2773199,1.1356497,1.1269577,1.5462669,1.531853
AKR1B10_19908,57016,akr1b10,6.203037711,6.934155823,7.816479073,8.23902E-09,3.75464E-07,5.6722364,5.6722364,-1.0887438,-1.1217836,1.2958447,-1.0891821,1.0409333,3.5674076,5.6722364
AKR1C2_28246,1646,akr1c2,10.72317294,12.49048859,15.18877782,6.42779E-05,0.00064077,2.7371778,2.7371778,-1.2918744,-1.3468243,-1.2251014,-1.287415,-1.2310127,1.7722739,2.7371778
AKR1C3_203,8644,akr1c3,10.11876653,11.41841596,13.23907536,1.53768E-06,2.69516E-05,3.132354,3.132354,-1.240004,-1.2324352,1.0642823,-1.0883163,-1.0477788,1.9778832,3.132354
AKR1C3_26820,8644,akr1c3;akr1c1;akr1c4;akr1c2,11.41352247,13.16699148,15.81303851,7.21589E-05,0.000698636,2.987,2.987,-1.339092,-1.0578539,1.0990108,-1.027465,-1.0762529,1.5820818,2.987
ALAS1_28273,211,alas1,16.99176329,19.28596838,22.55449101,6.67381E-06,9.02096E-05,1.883079,1.883079,1.0695479,1.058282,-1.1424311,1.0389376,1.1265961,1.382626,1.883079
ALB_217,213,alb,15.88866372,16.90597393,18.10581487,3.26124E-11,5.20167E-09,-3.5791543,3.5791543,1.0077488,1.0345734,1.0663394,1.0478647,-1.0399559,-1.7356557,-3.5791543
ALDH2_225,217,aldh2,26.98652876,33.35665712,47.3268535,0.013409412,0.047528916,-1.5651711,1.5651711,1.1579168,-1.0574841,1.025845,1.111115,1.2950679,-1.0541905,-1.5651711
ALDOC_233,230,aldoc,7.077050703,9.190180899,10.31351787,0.000171042,0.001391899,-6.416203,6.416203,-1.0270215,1.1121955,1.6580323,1.2923135,1.118662,-1.2435595,-6.416203
ANO10_292,55129,ano10,8.358901063,9.894199466,12.3824576,0.000500375,0.003410674,2.680654,2.680654,-1.1966425,1.0575712,1.0376487,1.16221,-1.0376812,1.4795978,2.680654
ANXA5_14212,308,anxa5,25.04012006,28.02130897,33.41671825,0.000209073,0.001659064,1.5712832,1.5712832,-1.1100702,1.0434313,1.0206705,-1.0694808,1.1596488,1.0176187,1.5712832
APOA1_26063,,apoa1,13.93261883,15.78404711,18.32099583,1.68571E-05,0.000193432,-3.3489695,3.3489695,-1.1961522,1.0072906,-1.056265,-1.0321628,-1.249681,-2.2989657,-3.3489695
APOC1_19115,341,apoc1,32.52894779,38.34713593,47.51987212,0.001945979,0.010082626,-1.6681652,1.6681652,-1.0069311,1.0012283,1.022627,1.0043405,-1.0384611,-1.2425624,-1.6681652
AQP9_378,366,aqp9,17.6888595,21.09134234,26.46100404,0.000308125,0.002307323,-1.7985457,1.7985457,-1.0605671,-1.2724934,-1.2303994,-1.1291198,-1.1893997,-1.5486827,-1.7985457
ARHGEF2_423,9181,arhgef2,6.24767493,7.558682556,9.81173814,0.001386634,0.007923017,3.444285,3.444285,-1.1742189,1.2557144,1.1178244,-1.257706,1.0080293,1.7553022,3.444285
ARL1_17096,400,arl1,20.41128913,21.17165397,22.51341085,0.000161384,0.00132684,1.7138442,1.7138442,1.1305404,1.0445831,1.1614377,1.0570117,1.0398728,1.014234,1.7138442
ARRDC4_12510,91947,arrdc4,16.84641336,20.03595413,25.19383966,2.08439E-05,0.000227713,-2.0535421,2.0535421,1.0967995,-1.235298,-1.1819414,-1.2633601,-1.1711364,-2.0535421,-1.9297805
ASS1_10887,445,ass1,29.49163766,37.3920377,53.60196456,0.000250458,0.001939227,1.5381283,1.5381283,1.0956306,1.1401535,1.2228359,1.1868001,1.1030583,1.5381283,1.3971877
