Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Unadjusted.P-Value ,Adjusted.P-Value ,Max.Fold.Change ,Max.Fold.Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
NAMPT_28431,,nampt,CentralTendencyRelativeChange,,0.1,Model average,1,1,33.02706568,45.17393049,76.75052321,0.000252,0.002725456,-1.7449462,1.7449462,1.0406848,-1.0208621,-1.1255985,-1.0593221,-1.2285471,-1.7449462,-1.2635455
ALB_217,213,alb,CentralTendencyRelativeChange,,0.1,Model average,1,1,37.55298048,43.55525636,57.28672606,0.0000266,0.000444,-1.5831908,1.5831908,1.046131,1.0398735,1.0782768,-1.0005084,-1.0575093,-1.4307989,-1.5831908
RPL11_5914,6135,rpl11,CentralTendencyRelativeChange,,0.1,Model average,1,1,34.69001684,41.33454861,53.06793939,0.000816,0.007056661,1.5371178,1.5371178,1.0639609,1.1389543,1.1236553,1.0894414,1.0949154,1.11505,1.5371178
ADH1A_126,124,adh1a,CentralTendencyRelativeChange,,0.1,Model average,1,1,34.76607155,40.69758427,49.76627087,0.0000692,0.000898,-1.6351404,1.6351404,-1.0125271,-1.0761178,-1.0977874,-1.1662453,-1.1404543,-1.1508574,-1.6351404
HSPE1_27335,,hspe1,CentralTendencyRelativeChange,,0.1,Model average,1,1,33.49076778,39.63121101,49.13589284,0.0000736,0.000948,1.5040921,1.5040921,1.0753256,1.1621712,1.0470511,1.0877252,1.0693011,1.1823039,1.5040921
BAX_28222,581,bax,CentralTendencyRelativeChange,,0.1,Model average,1,1,27.39673011,37.60897439,62.76420851,0.001099314,0.009163104,1.5591147,1.5591147,1.1928989,1.28871,1.190974,1.1762182,1.3721172,1.5591147,1.4604852
CYP3A5_28493,1577,zscan25;cyp3a5,CentralTendencyRelativeChange,,0.1,Model average,1,1,22.75351014,36.65042551,107.0751703,0.002425071,0.01709048,2.2781162,2.2781162,-1.247188,-1.29992,-1.5974774,1.0716491,1.3774508,2.2781162,1.1706256
SAT1_6103,,sat1,CentralTendencyRelativeChange,,0.1,Model average,1,1,30.84148177,36.29524127,44.87190047,0.000356,0.003613521,-1.5678717,1.5678717,1.0502801,-1.0471576,-1.0317556,-1.0861079,-1.0939401,-1.358862,-1.5678717
HMGCS2_16503,3158,hmgcs2,CentralTendencyRelativeChange,,0.1,Model average,1,1,29.48342607,35.96202191,46.6584155,5.79E-09,0.000000338,1.8525543,1.8525543,-1.0676547,-1.1396267,1.0054938,1.1508392,1.3283721,1.8525543,1.4597864
CAV1_20077,857,cav1,CentralTendencyRelativeChange,,0.1,Model average,1,1,21.81477902,35.24193015,122.695839,0.004934852,0.030562437,1.7321507,1.7321507,-1.0652769,1.7321507,-1.0173638,-1.1491034,-1.1260607,-1.4128731,-1.1770959
EIF3E_2094,3646,eif3e,CentralTendencyRelativeChange,,0.1,Model average,1,1,28.87804988,34.71715137,44.02298748,0.0000149,0.00028,1.587265,1.587265,1.1072963,1.091954,1.112526,1.1975406,1.2465451,1.2858568,1.587265
